State,City,Suburb,DistanceToAvalon,DistanceToTullamarine,Attractions
Victoria,Geelong, Belmont,27,77,"Belmont Common, local parks, Geelong Botanic Gardens"
Victoria,Geelong,Aberfeldie,40,50,"Aberfeldie Park, Maribyrnong River"
Victoria,Geelong,Aireys Inlet,60,130,"Aireys Inlet Lighthouse, Great Ocean Road, beaches"
Victoria,Geelong,Albert Park,130,155,"Albert Park Lake, local cafes"
Victoria,Geelong,Albion,30,45,"Ardeer Reserve, Kororoit Creek"
Victoria,Geelong,Alfredton,60,110,"Ballarat Wildlife Park, Lake Wendouree"
Victoria,Geelong,Alpine,350,420,"Alpine Valley, local parks"
Victoria,Geelong,Altona Meadows,30,45,"Truganina Park, Altona Meadows Shopping Centre"
Victoria,Geelong,Altona North,45,55,"Altona Gate Shopping Centre, local parks"
Victoria,Geelong,Altona,220,250,"Altona Beach, Altona Meadows"
Victoria,Geelong,Anakie,15,70,"Anakie Gorge, local parks, You Yangs Regional Park"
Victoria,Geelong,Anderson,45,95,"Wilson’s Promontory National Park"
Victoria,Geelong,Angelsea,75,140,"Angelsea Beach, local cafes, coastal parks"
Victoria,Geelong,Anglesea,50,115,"Anglesea Beach, Great Ocean Road, Anglesea Golf Club"
Victoria,Geelong,Ardeer,25,40,"Ardeer Reserve, Kororoit Creek"
Victoria,Geelong,Armadale,120,140,"Armadale Shopping Centre, local parks"
Victoria,Geelong,Armstrong Creek,17,60,"Armstrong Creek Shopping Centre, local parks, residential area"
Victoria,Geelong,Ascot Vale,60,70,"Union Road Shopping, Ascot Vale Leisure Centre"
Victoria,Geelong,Avondale Heights,55,70,"Avondale Heights Reserve, Maribyrnong River"
Victoria,Geelong,Bacchus Marsh,35,55,"Bacchus Marsh Avenue of Honour, Lerderderg Gorge"
Victoria,Geelong,Back Creek,50,80,"Mount William, Brisbane Ranges National Park"
Victoria,Geelong,Balliang,25,50,"Balliang Park, Werribee Gorge"
Victoria,Geelong,Balwyn,260,290,"Balwyn Park, local cafes"
Victoria,Geelong,Bannockburn,10,45,"Bannockburn Arboretum"
Victoria,Geelong,Banyule,65,75,"Banyule Flats Reserve, Yarra River"
Victoria,Geelong,Barrabool,27,87,"Barrabool Hills, rural countryside, local vineyards"
Victoria,Geelong,Barwon Heads,30,90,"Barwon Heads Beach, local shops, Barwon River"
Victoria,Geelong,Bass,270,330,"Bass Coast, local parks"
Victoria,Geelong,Batesford,15,65,"Batesford Reservoir, local nature walks, country living"
Victoria,Geelong,Beaconsfield,180,210,"Beaconsfield Plaza, local parks"
Victoria,Geelong,Beaumaris,90,100,"Beaumaris Beach, local parks"
Victoria,Geelong,Bell Park,15,45,"Geelong Golf Course, Geelong Showgrounds"
Victoria,Geelong,Bell Post Hill,15,50,"Bell Post Hill Reserve, local parks, residential area"
Victoria,Geelong,Bellarine,35,90,"Bellarine Peninsula, local wineries, coastal views"
Victoria,Geelong,Bellbrae,35,95,"Bellbrae Golf Course, local parks"
Victoria,Geelong,Belmont,25,85,"Barwon River, Belmont Common, local cafes"
Victoria,Geelong,Bemm River,320,380,"Bemm River Beach, local parks"
